internal_key,display_name,category,value_range,description
aptitude,资质,attribute,,前台主属性；表达角色整体距离仙缘门槛还有多远
physique,武学,attribute,1-4阶段标记：初通拳脚/招式成路/功法渐深/火候已成,隐藏能力；表达武术、练法、功法相关积累
craft,百艺,attribute,1-4阶段标记：手上有活/做事熟练/技法精熟/可当一面,隐藏能力；表达手艺、技艺、执行层面的总体水平
insight,学识,attribute,1-4阶段标记：知其一二/知道门道/识见渐深/通晓秘要,隐藏能力；表达知识、理论、见闻、秘辛认知方面的积累
xinxing,心性,attribute,-2到+2,长期倾向；+2路径认同 / -2主动押注。与心气分开处理
hp,生命,resource,,角色生命值
energy,精力,resource,1力有不逮/2尚可支撑/3精力充沛,状态；表达当前还能不能继续投入、做事、硬撑
spirit,心气,resource,1心气低落/2心气平稳/3心气饱满,状态；表达当前还能不能稳住、提着劲往前走。注意与世界参数 morale 区分
gold,银两,resource,,货币资源
xinxing_token,心性标记,resource,MVP 1 期固定容量 3,心性标记池；鉴定时按 xinxing 档位切换使用规则（S5 期接行为驱动）
social,人际,attribute,1-4阶段标记：初识有缘/相交日笃/交游既广/枝叶相连,人际成长值；阶段品质决定人际池容量上限
social_token,人际标记,resource,容量由 social 阶段决定,人际关系标记池；未分配池→NPC 分配（S6 期接分配机制）
physique_exp,武学经验,hidden_attribute,,半隐性；普通事件 outcome 高频累加；达 ability_progression.csv 阈值触发升阶（S4 期）
craft_exp,百艺经验,hidden_attribute,,半隐性；同 physique_exp
insight_exp,学识经验,hidden_attribute,,半隐性；同 physique_exp
social_exp,人际经验,hidden_attribute,,半隐性；同 physique_exp（升阶后 social 池容量 +1 且即送 1 未分配标记）
