event_id,condition_type,left,op,right,delta
evt_s2_sk_he,required_flag,flags.met_he,==,false,
evt_s2_sk_he,required_location,,,loc_pharmacy,
evt_s2_sk_qin,required_flag,flags.met_qin,==,false,
evt_s2_sk_qin,required_location,,,loc_qin_house,
evt_s2_sk_zhou,required_flag,flags.met_zhou,==,false,
evt_s2_sk_zhou,required_location,,,loc_training_ground,
evt_s2_sk_cheng,required_flag,flags.met_cheng,==,false,
evt_s2_sk_cheng,required_location,,,loc_dao_temple,
evt_s2_fl_pharmacy_1,required_location,,,loc_pharmacy,
evt_s2_fl_pharmacy_2,required_location,,,loc_pharmacy,
evt_s2_fl_pharmacy_3,required_location,,,loc_pharmacy,
evt_s2_fl_qin_house_1,required_location,,,loc_qin_house,
evt_s2_fl_qin_house_2,required_location,,,loc_qin_house,
evt_s2_fl_qin_house_3,required_location,,,loc_qin_house,
evt_s2_fl_qin_house_4,required_location,,,loc_qin_house,
evt_s2_fl_qin_house_5,required_location,,,loc_qin_house,
evt_s2_fl_qin_house_6,required_location,,,loc_qin_house,
evt_s2_fl_cheng_1,required_location,,,loc_dao_temple,
evt_s2_fl_cheng_2,required_location,,,loc_dao_temple,
evt_s2_fl_cheng_3,required_location,,,loc_dao_temple,
evt_s2_fl_cheng_4,required_location,,,loc_dao_temple,
evt_s2_fl_cheng_5,required_location,,,loc_dao_temple,
evt_s2_fl_cheng_6,required_location,,,loc_dao_temple,
evt_s2_fl_pharmacy_4,required_location,,,loc_pharmacy,
evt_s2_fl_pharmacy_5,required_location,,,loc_pharmacy,
evt_s2_fl_pharmacy_6,required_location,,,loc_pharmacy,
evt_s2_fl_zhou_1,required_location,,,loc_training_ground,
evt_s2_fl_zhou_2,required_location,,,loc_training_ground,
evt_s2_fl_zhou_3,required_location,,,loc_training_ground,
evt_s2_fl_zhou_4,required_location,,,loc_training_ground,
evt_s2_fl_zhou_5,required_location,,,loc_training_ground,
evt_s2_fl_zhou_6,required_location,,,loc_training_ground,
