event_id,branch,target,op,key,value
evt_s2_sk_he,default,flags,set,met_he,true
evt_s2_sk_qin,default,flags,set,met_qin,true
evt_s2_fl_qin_house_6,default,flags,set,qin_market_baseline,true
evt_s2_sk_zhou,default,flags,set,met_zhou,true
evt_s2_sk_cheng,default,flags,set,met_cheng,true
evt_s3_chain_entry,default,chain_context,patch,chainId,chain_shi
evt_s3_chain_entry,default,chain_context,patch,stage,1
evt_s3_chain_entry,default,chain_context,patch,allowedTags,chain;shi
evt_s3_chain_entry,default,chain_context,patch,exitWhenStageGte,5
evt_s3_chain_entry,default,chain_context,patch,turnMode,deferred
evt_s3_chain_entry,default,chain_context,patch,deferredTurnCost,1
evt_s3_chain_entry,default,world,set_forced_next,,evt_s3_chain_2
evt_s3_chain_2,default,flags,set,lu_special_attention,true
evt_s3_chain_2,default,flags,set,met_lu,true
evt_s3_chain_2,default,world,set_forced_next,,evt_s3_chain_3
evt_s3_chain_3,default,world,set_forced_next,,evt_s3_chain_4
evt_s3_chain_4,default,world,set_forced_next,,sys_final_reflection
