event_id,presentation_id,display_order,item_type,speaker,text,presents,condition
sys_opening_reflection,sys_opening_reflection_p1,1,text,,“我们真的要进仙门吗？”,text,
sys_opening_reflection,sys_opening_reflection_p2,2,text,,池塘的水面还在轻轻晃。她站在你身边，没看你，眼睛跟着涟漪动。,text,
sys_opening_reflection,sys_opening_reflection_p3,3,text,,你没答。等你回过神时，她已经在看远处。镇子那几个方向，各自开着烟火气。,location_select,
sys_reflection,sys_reflection_p1_fallback,1,text,,“嗯……”她说着停了下来，视线收回水面。\n你低头。水里映着自己——这一日的事还在身上。,text,
sys_reflection,sys_reflection_p1_met_he,1,text,,“何掌柜虽然不爱说话，但对你还挺好的。”她说着停了下来，视线收回水面。\n你低头。水里映着自己——指尖还残着药材的气味。,text,"last_consumed_skeleton_event_id == ""evt_s2_sk_he"""
sys_reflection,sys_reflection_p1_met_qin,1,text,,“她真的同意你去仙门吗？”她有些拿不准。\n你也不知道。求仙的路就在那里，大家都去得。她应该都明白的。,text,"last_consumed_skeleton_event_id == ""evt_s2_sk_qin"""
sys_reflection,sys_reflection_p1_met_zhou,1,text,,“周既明，好像是镇上大户人家的孩子……他会不会更有机会呀？” 她满是担忧。\n进仙门又不是只有一个名额……但愿吧。你心里也不是很有把握。,text,"last_consumed_skeleton_event_id == ""evt_s2_sk_zhou"""
sys_reflection,sys_reflection_p1_met_cheng,1,text,,“他说你看着有灵性。他不会只是说说而已吧？” 她不是很有信心，没敢看你认真的眼神。\n程先生一定是认真的。你心里热乎乎的感觉，不是骗人的。,text,"last_consumed_skeleton_event_id == ""evt_s2_sk_cheng"""
sys_reflection,sys_reflection_p2,2,text,,“再去哪里看看？”她说。,text,
sys_reflection,sys_reflection_p3,3,text,,你抬起头。镇上几个方向，都在那里。,location_select,
sys_final_reflection,sys_final_reflection_p1,1,text,,“你娘亲居然会同意！”。看着她惊喜的样子，你更觉得意外。,text,
sys_final_reflection,sys_final_reflection_p2,2,text,,“可是……习武很辛苦吧？这真的是求仙门的正路吗？”\n她笑着摇了摇头。,text,
