option_id,branch,seq,text
evt_s2_sk_he_opt_1,success,1,你拿起那株药看了一会，说出名字。柜后人嗯了一声，没多说，把这味药放回去。回过头来，他冲你点了点头。
evt_s2_sk_he_opt_1,success,2,你退回到柜后做事，手心还残着方才药材的气味——他什么都没说，但你知道他记下了。
evt_s2_sk_he_opt_1,fail,1,你拿起那株药看了一会，犹豫片刻，说了一个名字。柜后人没说对错，只是把那味药接了回去，重新摆好。
evt_s2_sk_he_opt_1,fail,2,你退回到柜后做事，手里还在想方才那株药的样子。他没说话——你说不清是不是错了。
evt_s2_sk_he_opt_2,default,1,你站在柜台边上看了一会。柜后人翻看药材的速度慢得很，每一味药都要翻看一遍才放回去。
evt_s2_sk_he_opt_2,default,2,等他终于抬头时，你已经在不知不觉里跟着记下了几样的样子。
evt_s2_sk_he_opt_3,default,1,你转身去整理药斗里几样常用的药，柜后人始终没抬头。等你忙完出去时，他还在那里慢慢摆弄那一味药。
evt_s2_sk_qin_opt_1,success,1,你把咸鱼和腌肉挑出来留家里，干笋和红枣一并匀出去。娘看了一眼，没多说，从桌上那堆铜板里挑了几枚，搁到笋边。
evt_s2_sk_qin_opt_1,success,2,她在那张纸上添了一行。回礼的篮子放到桌脚——孙伯家、王嫂家、对门——一会儿要送的几处都列在纸上。
evt_s2_sk_qin_opt_1,fail,1,你把红枣留了下来，咸鱼匀出去。娘看了看，把咸鱼移回筐里，“咸鱼留着家里吃。”——她把红枣挑出来，匀进回礼那堆。
evt_s2_sk_qin_opt_1,fail,2,你给娘斟了一杯茶。她接着算那张纸，铜板又分了一次。回礼的篮子要赶在天黑前送出去。
evt_s2_sk_qin_opt_2,default,1,你坐在桌边看娘分。咸鱼和腌肉留下来，干笋和红枣匀出去；铜板从那三堆里挑出几枚，搁到笋边。每一样动作都不快，但每一样都对着这月的礼数来。
evt_s2_sk_qin_opt_2,default,2,等娘把那张纸添完，你已经在不知不觉里跟着记下了几家走礼的密度。
evt_s2_sk_qin_opt_3,default,1,你站起身，把那筐先搬进灶屋边上。回头时娘还在桌前算，纸上又添了两行，铜板分得更细了一些。
evt_s2_sk_zhou_opt_1,success,1,你退到场子边角没人看见的地方，照着方才那个收手的姿势比划。第一遍手腕的角度不对，再来一遍就有了。做完时心跳得有些快——这个招式的形你大致记住了。
evt_s2_sk_zhou_opt_1,success,2,你抬脚往家走。回头时，撞到了那少年投来的目光。日头偏西了，那一招的形还在你手上。
evt_s2_sk_zhou_opt_1,fail,1,你退到场子边角没人看见的地方，照着方才那个收手的姿势比划。第一下脚下没站稳，第二下手腕的角度又错了。你试了几次，每次都觉得差着一点。
evt_s2_sk_zhou_opt_1,fail,2,你抬脚往家走。回头时，撞到了那少年投来的目光。日头偏西了。那一招的样子还在你眼里，可你手上没有它。
evt_s2_sk_zhou_opt_2,default,1,你站在边上看着。那少年把整套招式从头做了一遍，又从头做了一遍。师傅偶尔出声指点，但不多。一整套招式做完，少年收手站直，看了师傅一眼。
evt_s2_sk_zhou_opt_2,default,2,你不知不觉看完了，腿站得有点酸。那一套招式的形，你大致都看见了。
evt_s2_sk_zhou_opt_3,default,1,你抬脚回家。日头还高，路上要走一段，家里晚饭前还有事。
evt_s2_sk_cheng_opt_1,default,1,你没抬头，继续搬。\n程从你身边经过，停了一下。\n“你这少年，”他说，“看着倒有些灵性。以后多来道观帮忙。”\n你手里的书箱顿了一瞬，没说话。
evt_s2_sk_cheng_opt_1,default,2,你做完活，弟子把工钱递过来。\n出了道观，回头看时，飞檐下风铃晃了一下。
evt_s2_sk_cheng_opt_2,default,1,你悄悄抬眼瞥了一下。\n程的目光顺势落到你脸上。\n“你这少年，”他温和地说，“看着倒有些灵性。以后多来道观帮忙。”\n你低头继续搬。
evt_s2_sk_cheng_opt_2,default,2,你做完活，弟子把工钱递过来。\n出了道观，回头看时，飞檐下风铃晃了一下。
evt_s2_sk_cheng_opt_3,success,1,你停下手，搭了一句：“那纸怕是薄了。”\n程多看了你一秒，温和地点头。\n“你这少年，”他说，“看着倒有些灵性。以后多来道观帮忙。”\n你没接话，眼里的书箱清了一层。
evt_s2_sk_cheng_opt_3,success,2,你做完活，弟子把工钱递过来。\n出了道观，回头看时，飞檐下风铃晃了一下。
evt_s2_sk_cheng_opt_3,fail,1,你停下手，搭了一句：“是要扔了么？”\n程温和地点头：“无妨。” 转头对弟子，“你看着办。”\n走过你身旁时，他停了一下。“你这少年，”他说，“看着倒有些灵性。以后多来道观帮忙。”\n你没说话。
evt_s2_sk_cheng_opt_3,fail,2,你做完活，弟子把工钱递过来。\n出了道观，回头看时，飞檐下风铃晃了一下。
evt_s2_fl_pharmacy_1_opt_1,default,1,你一味一味把药挑出来，秤了又秤，包成一包递过去。客人接过药，付了钱，转身出门。
evt_s2_fl_pharmacy_1_opt_1,default,2,你把方子放回到柜后，手心里还带着方才几味药的气味——有几个药名你这次记住了。
evt_s2_fl_pharmacy_1_opt_2,default,1,老伙计抽空过来瞄了眼方子，几味你不认得的药他直接帮你挑了出来。剩下的你抓完，递给客人。
evt_s2_fl_pharmacy_1_opt_3,default,1,你按方子上几味自己认得的药抓了一份，凑齐递过去。客人接过药就走，没多说什么。
evt_s2_fl_pharmacy_2_opt_1,default,1,你坐定，握住杵柄，慢慢碾下去。粗的颗粒被压碎，再压碎，渐渐成了细粉，铺在臼底。气味是从碾到一半时透出来的——苦里带一点甘。
evt_s2_fl_pharmacy_2_opt_1,default,2,抬眼时杵已经放下了，手腕还沉沉的。臼底那一小堆细粉在窗光里很安静。雨还在外头落。
evt_s2_fl_pharmacy_2_opt_2,default,1,你随口问了一句今年的雨。老伙计抬了下眼皮，慢慢应着，说今年来得早，又拐到去年这时候的一味陈货上。一来一回拖了一阵，雨没停，话也没什么去处。
evt_s2_fl_pharmacy_2_opt_3,default,1,你挪到药柜边坐下，背贴着柜门，闭了眼。雨声压在耳朵上，远了一阵又近了一阵。再睁眼时窗光已经偏过半个柜面，颈后木头的纹路硌得清清楚楚。
evt_s2_fl_pharmacy_3_opt_1,default,1,你从药斗里挑了几味，秤了，包好，报了价钱。客人数出几个铜板按在柜台上，拎了药出门。
evt_s2_fl_pharmacy_3_opt_1,default,2,之后又来了两拨人，你一一应付下来。等空下来，掌心隐隐有点酸，柜台上那一小堆铜板比早上厚了一截。
evt_s2_fl_pharmacy_3_opt_2,default,1,你又往细里问了几桩——咳的时候有没有痰、能不能睡踏实、白日里精神怎么样。客人一桩桩答下来，比起头说得明白。听完，你换了一味，又添了一味。
evt_s2_fl_pharmacy_3_opt_2,default,2,客人捏着药包，临出门前回头点了下头，说下回家里再有人不爽利还来你这儿。柜台上多出几枚铜板，比头一回那单厚些。
evt_s2_fl_pharmacy_3_opt_3,default,1,你侧过头喊了一声。老伙计撂下手里的药斗过来，听客人重又说了一遍，伸手就在药架上挑齐了几味，递了过去。事毕，他从柜台上拨了两枚铜板搁到你这边，剩下的揣进自己怀里。
evt_s2_fl_pharmacy_4_opt_1,default,1,你又翻了几页。有些字像见过又记不清，有些字根本没见过。看了一阵，你只记下几个生僻的样子。
evt_s2_fl_pharmacy_4_opt_1,default,2,你把书塞回原来的缝里。往后手上做着别的，那几个字偶尔从脑子里浮一下——你说不上为什么，就是搁不下。
evt_s2_fl_pharmacy_4_opt_2,default,1,你把书推回缝里，没再翻。手上回到药材罐子上，码到日光斜过来时，已经一整层。
evt_s2_fl_pharmacy_4_opt_3,default,1,你把书搁回缝里，转回到药材罐子前。手上活计一件接一件，直到日落才停下来。老伙计塞了几枚钱给你，是这一日的工钱。
evt_s2_fl_pharmacy_5_opt_1,default,1,你把每包都揭开油纸看一眼，对着账册上的字一行一行划过去。日头爬上墙根的时候，箱子见了底。
evt_s2_fl_pharmacy_5_opt_1,default,2,入库归位时，有几个名目你不再需要翻账册——油纸上的字眼，看一眼就晓得归到哪一格。
evt_s2_fl_pharmacy_5_opt_2,default,1,老伙计另起一摞自顾自分着。你站到他斜后方，看他先拎哪一包、再放哪一格——慢半拍跟下来，自己手里也理顺了一摞。
evt_s2_fl_pharmacy_5_opt_3,default,1,你不再细看油纸上的字，挑相近大小的几包先抱进去摞了。老伙计抬头瞥过来，又把目光收回账册上。
evt_s2_fl_pharmacy_6_opt_1,default,1,你坐回到柜台后头，一样一样把零碎归位。老伙计这边收完，把另一盏灯也点亮了，往你手边推了推。
evt_s2_fl_pharmacy_6_opt_1,default,2,等你抬眼时，铺里就剩这两盏灯。老伙计在最后一笔账下面落了今日的工，从抽屉里数了几枚铜钱搁到你掌心，比平日多了几个。
evt_s2_fl_pharmacy_6_opt_2,default,1,你把眼前的零碎拢成一堆，搁回柜上，转身出门。檐下的天还透着一层暮蓝，巷子里有人挑着担子从西头往东头走。
evt_s2_fl_pharmacy_6_opt_3,default,1,老伙计这头推药斗，你在柜台另一头搭了句话，他应了。两边都没停手，话却是断断续续的——天气、米价、邻街新开的铺子，都不是要紧事。等你拎起外套时，斗子也合上了最后一格。
evt_s2_fl_qin_house_1_opt_1,default,1,你接过那几吊钱拢进荷包，替娘应了一声谢。客人挑起担子站起来，往桥北那头慢慢走了。
evt_s2_fl_qin_house_1_opt_2,default,1,你推让了两声不要。客人摆摆手把那几吊钱往你手里一搁，挑起担子就走，没再回头。
evt_s2_fl_qin_house_1_opt_3,default,1,你反复推辞，说娘那时也没特意做什么。客人摇了摇头把钱收回担子里，应一声挑起担子往桥那头走了。
evt_s2_fl_qin_house_2_opt_1,default,1,你轻轻退到街那头。两位老主顾没察觉，话头转到了别处。
evt_s2_fl_qin_house_2_opt_2,default,1,你走过去跟两位老主顾打个招呼。两人应一声让你坐，话头停在那里，喝了几口茶就散了。
evt_s2_fl_qin_house_2_opt_3,default,1,你站在街那头听了一会，卖布的又提了一两件娘平日里的小事，修补摊的应着。等他们喝完茶散了，你才走开。
evt_s2_fl_qin_house_3_opt_1,default,1,你从院里堆杂物的角落找出一段麻绳，把那枚木楔重新固在门轴上。门板正过来，关上时不再响。
evt_s2_fl_qin_house_3_opt_2,default,1,你把门板搁稳了，松着的木楔还卡在原处。屋里那筐菜的水滴在筐底，针线笸箩还搁在窗下椅上没动。
evt_s2_fl_qin_house_3_opt_3,default,1,你把门板搁好就出院子了。孙伯家就在隔几步——他在院里晒杂物，听完应一声让你自己进屋翻。
evt_s2_fl_qin_house_4_opt_1,default,1,你把那两吊钱收进荷包里，字条折起来塞回床头压着。屋外日头偏过去了一截。
evt_s2_fl_qin_house_4_opt_2,default,1,你把铜板叠回原处，字条压在上头。床上那叠衣物你顺手挪了挪边角。
evt_s2_fl_qin_house_4_opt_3,default,1,你把那两吊钱收进荷包里。字条压回床头那本旧书底下，留个记号。
evt_s2_fl_qin_house_5_opt_1,default,1,你坐在桌边把饭吃完。灶台边那几个盘子洗了，搁回原处。屋里依然没声音，内屋的门没动。
evt_s2_fl_qin_house_5_opt_2,default,1,你坐到桌边吃了几口，碗筷搁在桌上没收。灶台边那几个盘子还摞在那，你出堂屋去了里屋。
evt_s2_fl_qin_house_5_opt_3,default,1,你掩上锅盖，灯没点就回里屋了。灶台那点余温还在，桌上那双筷子摆着没动。
evt_s2_fl_qin_house_6_opt_1,default,1,你让王嫂坐到小杌子上，把那一吊钱接过来搁进摊位下的钱袋里。账本上你按娘平时的写法添了一笔。
evt_s2_fl_qin_house_6_opt_2,default,1,你站在摊位边没说话。王嫂应了一声把那一吊钱搁在账本旁边，转身走了。
evt_s2_fl_qin_house_6_opt_3,default,1,你把咸菜罐子重新叠齐，摊布拉直，针线包归到原来的位置。王嫂在边上看着应了一声就走了。
evt_s2_fl_zhou_1_opt_1,default,1,你站在那儿又看了几遍，那个收手的样子一遍比一遍清楚——可一时半会还说不上具体哪里不一样。日头偏了一点，你抬脚离了练场。
evt_s2_fl_zhou_1_opt_2,default,1,你把东西放在长凳上，转身出了练场。练剑的声音在身后小下去，几步之后已经听不太清了。
evt_s2_fl_zhou_1_opt_3,default,1,你和老门房说了两句娘要带的话。老门房点头应了，又抬手指了指外头让你顺南边那条路回去。你抬脚出了门。
evt_s2_fl_zhou_2_opt_1,default,1,你靠在墙根站了一阵。里头那阵密度也没散，反倒一阵紧一阵。等你想起手里还有事，日头已经爬了一截。
evt_s2_fl_zhou_2_opt_2,default,1,你脚步没停，走过那段围墙。声音渐渐淡到背后去，巷口转弯后已经被另一头的市声盖过了。
evt_s2_fl_zhou_2_opt_3,default,1,你走过那段路又折回来，绕到练场前的那条街口。门是开着的，你站在街那一头远远看了一会，没走近，又转身往原路去了。
evt_s2_fl_zhou_3_opt_1,default,1,你把剑拿起来掂在手里。比看上去要沉一些，柄上那层细皮被摸得发亮。你又翻看了一会才轻轻搁回长凳上。
evt_s2_fl_zhou_3_opt_2,default,1,你蹲到长凳边看那把剑，没伸手。磨痕和细皮叠在一起，你看了一会站起来，绕过那条石阶继续走。
evt_s2_fl_zhou_3_opt_3,default,1,你瞥了一眼那把剑就过去了。从空地另一头出来时，长凳还在原地，没人来取。
evt_s2_fl_zhou_4_opt_1,default,1,你顺着街走到门边停下，靠墙根站着没进去。一整段演完了，陆师傅把剑收回鞘里，又对围着的徒弟说了几句要点。徒弟们都点头应了。你这时才抬脚离开。
evt_s2_fl_zhou_4_opt_2,default,1,你没动，从街那一头看到那段招式做完。陆师傅把剑收回鞘，徒弟们散开各自归位。你才转身往家走。
evt_s2_fl_zhou_4_opt_3,default,1,你只看了一眼就转回身，沿街往北边走了。身后那段练场的静过了一会才重新有了声音，那时你已经走到了下一条街。
evt_s2_fl_zhou_5_opt_1,default,1,你在台阶上又站了一会。下一组对练开始了，那少年这次站在另一头。一组练完，又点头收手，又各归到旁边。摊主这时从里头出来朝你招手，你抬脚过去取东西。
evt_s2_fl_zhou_5_opt_2,default,1,你瞥了一眼就转开了脸，去街那头找摊主。摊主拿了东西出来递给你，你接过塞进袋里，往回走了。
evt_s2_fl_zhou_5_opt_3,default,1,你往门内挪了一两步靠在门框边。那一组分组练完了，几个人收剑站直，那少年从场上走开往墙边的水桶那边去了。你这才转身，去找摊主取东西。
evt_s2_fl_zhou_6_opt_1,default,1,你低头喝完那碗茶。几个小子也喝完了散开，各自往街那头走了。摊主从摊后头出来收碗，你把铜板放在桌上，抬脚走了。
evt_s2_fl_zhou_6_opt_2,default,1,你抬头朝那边问了一句。几个小子转过头，其中一个挠挠头说周家那几代都有家底，又说陆师傅那门是镇上少有几个能进的。说完几个人也散开各自走了。
evt_s2_fl_zhou_6_opt_3,default,1,你抬手把铜板放在桌上，端起碗一口喝完，转身往街那头走了。身后那几个小子的话头很快被另一阵市声盖了过去。
evt_s2_fl_cheng_1_opt_1,default,1,你坐在那儿没动。镇上提起这位程先生的，多半是这个口气——不夸张，也不挑刺。再坐了一会儿，你抬脚上路。
evt_s2_fl_cheng_1_opt_2,default,1,你起身走开，没去管那两人说什么。日头还高，事情还多。
evt_s2_fl_cheng_1_opt_3,default,1,你扭头跟树底下另一个等人的人搭了句话，问他今日街上是不是清淡。他点头嗯了一声，说热得人都躲着。两人又坐了一会儿，各自抬脚走开。
evt_s2_fl_cheng_2_opt_1,default,1,你没停下，照着脚下的路往前走。香味淡了下去，钟声也听不见了。
evt_s2_fl_cheng_2_opt_2,default,1,你在拐角站了一会儿。屋脊上的瓦在日头底下亮了一道，钟声又响过一次。香味散了，又来了。你转身继续往北走。
evt_s2_fl_cheng_2_opt_3,default,1,你在心里嘀咕了一句“这地方倒齐整”，没多停留，脚下没慢。镇上人家的屋脊低，瓦也旧，这点你心里有数。
evt_s2_fl_cheng_3_opt_1,default,1,接货的人把工钱递给你，你揣进怀里转身就走。脚下的石阶下到一半，回头看了一眼，又转回去往镇里走。
evt_s2_fl_cheng_3_opt_2,default,1,你在石阶下坐了一会儿，听见门里头有人走动的声音，也有一两句听不清的话。歇够了，你抬腿起身，沿原路往回走。
evt_s2_fl_cheng_3_opt_3,default,1,你问接货的人这两包要不要再往哪边放，他摇头说就放阶上便是，里头自有人来收。点完头，你揣着工钱出了道观门外的小道。
evt_s2_fl_cheng_4_opt_1,default,1,你站在板凳边听了一会儿。他说话不像镇上人的口气——慢一拍，话短，也不接人客气。铺子伙计很快取来了，他点头收了，转身就出门。
evt_s2_fl_cheng_4_opt_2,default,1,你转头看了看路上路过的几个挑担子的，没多留意身边的事。等铺子伙计把你的那一包取来时，那弟子已经不在店里了。
evt_s2_fl_cheng_4_opt_3,default,1,你等他走出门口，问铺子伙计刚才那位是哪家的。伙计说道观那边的，时不时来取一份。你点头嗯了一声，没再问下去。
evt_s2_fl_cheng_5_opt_1,default,1,你坐在矮桌前没动，把茶水喝了一口。镇上能传开这种事，多半是真的。你又坐了一会儿，付了茶钱起身离开。
evt_s2_fl_cheng_5_opt_2,default,1,你低头喝你的茶，没去琢磨别人桌上的事。喝完一碗付了茶钱，抬脚出了茶摊。
evt_s2_fl_cheng_5_opt_3,default,1,付茶钱时你顺口问摊主，刚才后头那两位是不是常来的。摊主点头说是几位常坐的老主顾，时不时来歇会儿。你嗯了一声，出了茶摊。
evt_s2_fl_cheng_6_opt_1,default,1,你舀了一瓢水喝了，又拿木瓢往脸上抹了一把。日头还没偏过来，你抬脚跟着那人继续往前走。
evt_s2_fl_cheng_6_opt_2,default,1,你低头舀水时多看了老人一眼。他正把另一只瓜从盆里捞出来，没抬头。你舀了一瓢水喝了，跟着那人继续走。
evt_s2_fl_cheng_6_opt_3,default,1,你舀完水跟那人聊了两句路上还有多远。他说还有一里多路，到了便见。两人喝完水，继续往前走。
evt_s3_chain_4_opt_1,default,1,你把脚挪了寸许。重心确实稳了下来——肩沉，腰直，气也匀了些。
evt_s3_chain_4_opt_2,default,1,你看了看自己的脚，没动。\n周既明侧过头多看了你一眼，没多说，又把头转回去。日头慢慢偏了，你站得有些酸——但还是没挪。
evt_s3_chain_4_opt_3,default,1,周既明看了你一眼——像是没想到你会问。“找到重心，就能把根扎在地上，不然只是用死力气。” 他解释了几句，便走开了。
evt_s3_chain_4_opt_3,default,2,你把脚挪了挪，希望自己能坚持更久。
