option_id,rule_type,branch,target,left,op,right,key,value
evt_s2_sk_he_opt_1,cost,default,,,,,spirit,1
evt_s2_sk_he_opt_1,check,default,check,,,,type,assessment
evt_s2_sk_he_opt_1,check,default,check,,,,items,craft:positive
evt_s2_sk_he_opt_1,check,default,check,,,,hitThreshold,6
evt_s2_sk_he_opt_1,check,default,check,,,,requiredHits,1
evt_s2_sk_he_opt_1,resolution,default,affinity,,,,affinityDeltas,player_001->npc_he:+10
evt_s2_sk_he_opt_1,resolution,default,player,,add,,craft,1
evt_s2_sk_he_opt_1,resolution,fail,affinity,,,,affinityDeltas,player_001->npc_he:+5
evt_s2_sk_he_opt_2,resolution,default,affinity,,,,affinityDeltas,player_001->npc_he:+5
evt_s2_sk_he_opt_2,resolution,default,player,,add,,craft,1
evt_s2_sk_he_opt_3,resolution,default,affinity,,,,affinityDeltas,player_001->npc_he:+0
evt_s2_sk_qin_opt_1,cost,default,,,,,spirit,1
evt_s2_sk_qin_opt_1,check,default,check,,,,type,assessment
evt_s2_sk_qin_opt_1,check,default,check,,,,items,craft:positive
evt_s2_sk_qin_opt_1,check,default,check,,,,hitThreshold,6
evt_s2_sk_qin_opt_1,check,default,check,,,,requiredHits,1
evt_s2_sk_qin_opt_1,resolution,success,affinity,,,,affinityDeltas,player_001->npc_qin:+10
evt_s2_sk_qin_opt_1,resolution,success,player,,add,,craft,1
evt_s2_sk_qin_opt_1,resolution,fail,affinity,,,,affinityDeltas,player_001->npc_qin:+5
evt_s2_sk_qin_opt_2,resolution,default,affinity,,,,affinityDeltas,player_001->npc_qin:+5
evt_s2_sk_qin_opt_2,resolution,default,player,,add,,craft,1
evt_s2_sk_qin_opt_3,resolution,default,affinity,,,,affinityDeltas,player_001->npc_qin:+0
evt_s2_sk_zhou_opt_1,cost,default,,,,,spirit,1
evt_s2_sk_zhou_opt_1,check,default,check,,,,type,assessment
evt_s2_sk_zhou_opt_1,check,default,check,,,,items,physique:positive
evt_s2_sk_zhou_opt_1,check,default,check,,,,hitThreshold,6
evt_s2_sk_zhou_opt_1,check,default,check,,,,requiredHits,1
evt_s2_sk_zhou_opt_1,resolution,success,player,,add,,physique,1
evt_s2_sk_zhou_opt_1,resolution,fail,player,,add,,physique,0
evt_s2_sk_zhou_opt_2,resolution,default,player,,add,,physique,1
evt_s2_sk_cheng_opt_3,cost,default,,,,,spirit,1
evt_s2_sk_cheng_opt_3,check,default,check,,,,type,assessment
evt_s2_sk_cheng_opt_3,check,default,check,,,,items,insight:positive
evt_s2_sk_cheng_opt_3,check,default,check,,,,hitThreshold,6
evt_s2_sk_cheng_opt_3,check,default,check,,,,requiredHits,1
evt_s2_sk_cheng_opt_3,resolution,success,player,,add,,insight,1
evt_s2_sk_cheng_opt_3,resolution,fail,player,,add,,insight,0
evt_s2_fl_pharmacy_1_opt_1,cost,default,,,,,spirit,1
evt_s2_fl_pharmacy_1_opt_1,resolution,default,player,,add,,craft,1
evt_s2_fl_pharmacy_1_opt_1,resolution,default,player,,add,,gold,10
evt_s2_fl_pharmacy_1_opt_2,resolution,default,player,,add,,craft,1
evt_s2_fl_pharmacy_1_opt_2,resolution,default,player,,add,,gold,10
evt_s2_fl_pharmacy_1_opt_3,resolution,default,player,,add,,gold,10
evt_s2_fl_pharmacy_2_opt_1,resolution,default,player,,add,,craft,1
evt_s2_fl_pharmacy_2_opt_1,resolution,default,player,,add,,spirit,1
evt_s2_fl_pharmacy_2_opt_2,resolution,default,player,,add,,spirit,1
evt_s2_fl_pharmacy_2_opt_3,resolution,default,player,,add,,spirit,1
evt_s2_fl_pharmacy_3_opt_1,cost,default,,,,,spirit,1
evt_s2_fl_pharmacy_3_opt_1,resolution,default,player,,add,,craft,1
evt_s2_fl_pharmacy_3_opt_1,resolution,default,player,,add,,gold,20
evt_s2_fl_pharmacy_3_opt_2,resolution,default,player,,add,,craft,1
evt_s2_fl_pharmacy_3_opt_2,resolution,default,player,,add,,gold,20
evt_s2_fl_pharmacy_3_opt_3,resolution,default,player,,add,,gold,10
evt_s2_fl_pharmacy_4_opt_1,cost,default,,,,,spirit,1
evt_s2_fl_pharmacy_4_opt_1,resolution,default,player,,add,,insight,1
evt_s2_fl_pharmacy_4_opt_3,resolution,default,player,,add,,craft,1
evt_s2_fl_pharmacy_4_opt_3,resolution,default,player,,add,,gold,10
evt_s2_fl_pharmacy_5_opt_1,cost,default,,,,,spirit,1
evt_s2_fl_pharmacy_5_opt_1,resolution,default,player,,add,,craft,1
evt_s2_fl_pharmacy_5_opt_1,resolution,default,player,,add,,gold,10
evt_s2_fl_pharmacy_5_opt_2,resolution,default,player,,add,,craft,1
evt_s2_fl_pharmacy_5_opt_2,resolution,default,player,,add,,gold,10
evt_s2_fl_pharmacy_5_opt_3,resolution,default,player,,add,,gold,10
evt_s2_fl_pharmacy_6_opt_1,cost,default,,,,,spirit,1
evt_s2_fl_pharmacy_6_opt_1,resolution,default,player,,add,,gold,10
evt_s2_fl_pharmacy_6_opt_2,resolution,default,player,,add,,spirit,1
evt_s2_fl_pharmacy_6_opt_3,resolution,default,player,,add,,spirit,1
evt_s2_fl_qin_house_1_opt_1,resolution,default,player,,add,,gold,30
evt_s2_fl_qin_house_1_opt_1,resolution,default,player,,add,,spirit,1
