option_id,choice_point_id,text,display_order,is_base,weight,trigger_condition,allow_desperate
evt_s2_sk_he_opt_1,cp_evt_s2_sk_he,试着辨认药材,1,,,,
evt_s2_sk_he_opt_2,cp_evt_s2_sk_he,站在边上看一会,2,,,,
evt_s2_sk_he_opt_3,cp_evt_s2_sk_he,转身去做别的,3,,,,
evt_s2_sk_qin_opt_1,cp_evt_s2_sk_qin,试着分这一筐,1,,,,
evt_s2_sk_qin_opt_2,cp_evt_s2_sk_qin,在边上听娘安排,2,,,,
evt_s2_sk_qin_opt_3,cp_evt_s2_sk_qin,先把这筐搬进灶屋,3,,,,
evt_s2_sk_zhou_opt_1,cp_evt_s2_sk_zhou,试着模仿一下方才那个招式,1,,,,
evt_s2_sk_zhou_opt_2,cp_evt_s2_sk_zhou,站在边上看完那一套招式,2,,,,
evt_s2_sk_zhou_opt_3,cp_evt_s2_sk_zhou,回家,3,,,,
evt_s2_sk_cheng_opt_1,cp_evt_s2_sk_cheng,不抬头，继续搬,1,,,,
evt_s2_sk_cheng_opt_2,cp_evt_s2_sk_cheng,悄悄抬眼瞥一下,2,,,,
evt_s2_sk_cheng_opt_3,cp_evt_s2_sk_cheng,停下手，搭一句,3,,,,
evt_s2_fl_pharmacy_1_opt_1,cp_evt_s2_fl_pharmacy_1,仔细按方抓药,1,,,,
evt_s2_fl_pharmacy_1_opt_2,cp_evt_s2_fl_pharmacy_1,叫住老伙计问几句,2,,,,
evt_s2_fl_pharmacy_1_opt_3,cp_evt_s2_fl_pharmacy_1,大致抓一下,3,,,,
evt_s2_fl_pharmacy_2_opt_1,cp_evt_s2_fl_pharmacy_2,守着石磨慢慢碾,1,,,,
evt_s2_fl_pharmacy_2_opt_2,cp_evt_s2_fl_pharmacy_2,跟老伙计搭几句话,2,,,,
evt_s2_fl_pharmacy_2_opt_3,cp_evt_s2_fl_pharmacy_2,靠着药柜打个盹,3,,,,
evt_s2_fl_pharmacy_3_opt_1,cp_evt_s2_fl_pharmacy_3,照单抓了几味,1,,,,
evt_s2_fl_pharmacy_3_opt_2,cp_evt_s2_fl_pharmacy_3,多问了几句病情,2,,,,
evt_s2_fl_pharmacy_3_opt_3,cp_evt_s2_fl_pharmacy_3,叫来老伙计帮看,3,,,,
evt_s2_fl_pharmacy_4_opt_1,cp_evt_s2_fl_pharmacy_4,顺手多翻了几页,1,,,,
evt_s2_fl_pharmacy_4_opt_2,cp_evt_s2_fl_pharmacy_4,搁回原位，没多看,2,,,,
evt_s2_fl_pharmacy_4_opt_3,cp_evt_s2_fl_pharmacy_4,书放下，做手头活,3,,,,
evt_s2_fl_pharmacy_5_opt_1,cp_evt_s2_fl_pharmacy_5,逐包仔细对名目,1,,,,
evt_s2_fl_pharmacy_5_opt_2,cp_evt_s2_fl_pharmacy_5,跟着老伙计的顺序分,2,,,,
evt_s2_fl_pharmacy_5_opt_3,cp_evt_s2_fl_pharmacy_5,凑数搬进去算了,3,,,,
evt_s2_fl_pharmacy_6_opt_1,cp_evt_s2_fl_pharmacy_6,留下把零碎收完,1,,,,
evt_s2_fl_pharmacy_6_opt_2,cp_evt_s2_fl_pharmacy_6,收拾一下就走,2,,,,
evt_s2_fl_pharmacy_6_opt_3,cp_evt_s2_fl_pharmacy_6,跟老伙计说几句,3,,,,
evt_s2_fl_qin_house_1_opt_1,cp_evt_s2_fl_qin_house_1,替娘接下，应一声谢,1,,,,
evt_s2_fl_qin_house_1_opt_2,cp_evt_s2_fl_qin_house_1,推辞两声，客人还是塞过来,2,,,,
evt_s2_fl_qin_house_1_opt_3,cp_evt_s2_fl_qin_house_1,婉拒到底，让客人继续上路,3,,,,
evt_s2_fl_qin_house_2_opt_1,cp_evt_s2_fl_qin_house_2,默默走开，不打扰,1,,,,
evt_s2_fl_qin_house_2_opt_2,cp_evt_s2_fl_qin_house_2,上前打个招呼,2,,,,
evt_s2_fl_qin_house_2_opt_3,cp_evt_s2_fl_qin_house_2,站着听完再走,3,,,,
