section,scope_a,scope_b,key,value
core,,,turn,1
core,,,current_location_id,loc_pharmacy
core,,,forced_next_event_id,
core,,,reflection_mode,intro
pack_config,,,defaultCapacity,3
pack_config,,,final_event_pool_tag,stage2_skeleton
pack_config,,,final_event_location_boost,100
pack_config,,,final_event_pool_exhausted_forced_id,evt_s3_chain_entry
task_config,,,max_active_count,4
npc_presence,loc_pharmacy,,npc_id,npc_he
npc_presence,loc_qin_house,,npc_id,npc_qin
npc_presence,loc_training_ground,,npc_id,npc_zhou
npc_presence,loc_dao_temple,,npc_id,npc_cheng
flag,,,met_he,false
flag,,,met_qin,false
flag,,,met_zhou,false
flag,,,met_cheng,false
flag,,,met_lu,false
flag,,,lu_special_attention,false
xinxing_config,,,gamble_to_neg1,3
xinxing_config,,,steady_to_pos1,5
xinxing_config,,,steady_to_pos2,5
xinxing_config,,,gamble_to_exit_positive,2
affinity_config,,,tier_hatred_max,-51
affinity_config,,,tier_distrust_max,-11
affinity_config,,,tier_trust_min,11
affinity_config,,,tier_devotion_min,51
affinity_config,,,echo_trust_delta,5
affinity_config,,,echo_distrust_delta,-5
reflection_config,,,op_limit,1
reflection_config,,,trust_delta_positive,5
reflection_config,,,trust_delta_negative,-5
reflection_config,,,recommend_count,3
reflection_config,,,focus_limit,3
reflection_config,,,initial_focus_npcs,
demo_mode_config,,,hide_xinxing_panel_values,true
demo_mode_config,,,hide_check_result_xinxing_summary,true
demo_mode_config,,,disable_desperate_gamble_path,true
demo_mode_config,,,disable_preemptive_bet_path,true
demo_mode_config,,,disable_xinxing_stability_bias,true
